id,fen,engine,move,score,wins,draws,losses,depth,seldepth,nodes,time,hashfull
0,bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w KQkq - 0 1,Stockfish 17.1,b2b4,29,74,916,10,11,17,101194,0.015,0
1,bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,23,61,927,12,9,18,100112,0.016,0
2,bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w KQkq - 0 1,Stockfish 17.1,h2h4,35,91,901,8,11,17,100204,0.017,0
3,bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w KQkq - 0 1,Stockfish 17.1,f1g1,24,63,925,12,10,21,100376,0.017,0
4,qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,33,84,907,9,14,17,100463,0.016,0
5,qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w KQkq - 0 1,Stockfish 17.1,d2d4,34,88,904,8,12,15,100890,0.018,0
6,qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w KQkq - 0 1,Stockfish 17.1,d2d4,18,52,933,15,9,18,100294,0.016,0
7,qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w KQkq - 0 1,Stockfish 17.1,g2g4,63,214,783,3,10,18,100199,0.017,0
8,qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w KQkq - 0 1,Stockfish 17.1,c2c4,25,66,923,11,11,18,100403,0.016,0
9,qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w KQkq - 0 1,Stockfish 17.1,d2d4,39,102,891,7,13,18,100168,0.018,0
10,qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w KQkq - 0 1,Stockfish 17.1,c2c4,29,74,916,10,13,19,101017,0.017,1
11,qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w KQkq - 0 1,Stockfish 17.1,g2g4,22,60,927,13,9,16,100795,0.018,0
12,qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w KQkq - 0 1,Stockfish 17.1,b2b3,27,69,920,11,9,16,100329,0.019,0
13,qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w KQkq - 0 1,Stockfish 17.1,f2f4,21,57,930,13,10,18,100204,0.019,0
14,qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w KQkq - 0 1,Stockfish 17.1,e2e4,43,118,876,6,12,19,101074,0.018,0
15,qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w KQkq - 0 1,Stockfish 17.1,b2b3,77,305,693,2,10,19,101058,0.016,0
16,bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w KQkq - 0 1,Stockfish 17.1,h2h4,35,91,901,8,13,17,100232,0.016,0
17,bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w KQkq - 0 1,Stockfish 17.1,b2b4,18,52,933,15,11,17,100049,0.018,0
18,bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w KQkq - 0 1,Stockfish 17.1,d2d4,44,119,875,6,10,21,100899,0.017,0
19,bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w KQkq - 0 1,Stockfish 17.1,b2b4,54,161,835,4,11,15,101014,0.02,0
20,nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,25,65,923,12,11,18,100861,0.016,0
21,nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,33,84,907,9,11,19,100165,0.017,0
22,nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w KQkq - 0 1,Stockfish 17.1,d2d4,46,128,866,6,12,19,100267,0.015,0
23,nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w KQkq - 0 1,Stockfish 17.1,f1g1,23,61,927,12,10,17,100866,0.017,0
24,nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w KQkq - 0 1,Stockfish 17.1,d2d4,70,256,742,2,11,18,100828,0.018,0
25,nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w KQkq - 0 1,Stockfish 17.1,c2c4,44,121,873,6,13,17,100718,0.018,1
26,nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w KQkq - 0 1,Stockfish 17.1,c2c4,43,116,878,6,12,16,100617,0.017,1
27,nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w KQkq - 0 1,Stockfish 17.1,c2c4,34,87,904,9,14,19,100584,0.018,0
28,nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w KQkq - 0 1,Stockfish 17.1,d2d4,26,67,922,11,11,17,101259,0.017,1
29,nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w KQkq - 0 1,Stockfish 17.1,c2c4,33,85,906,9,10,12,101087,0.018,0
30,nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w KQkq - 0 1,Stockfish 17.1,e2e4,15,47,937,16,10,24,100434,0.017,0
31,nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w KQkq - 0 1,Stockfish 17.1,f2f4,32,83,908,9,12,15,100455,0.017,0
32,bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w KQkq - 0 1,Stockfish 17.1,b2b4,32,82,909,9,12,16,100406,0.019,0
33,bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w KQkq - 0 1,Stockfish 17.1,h2h4,44,121,873,6,14,18,101229,0.017,1
34,bnnqrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNQRBKR w KQkq - 0 1,Stockfish 17.1,h2h4,33,84,907,9,11,18,100217,0.016,0
35,bnnqrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNQRKRB w KQkq - 0 1,Stockfish 17.1,f1g1,23,60,927,13,11,16,100631,0.02,0
36,nbbnqrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNQRKR w KQkq - 0 1,Stockfish 17.1,e2e4,55,168,828,4,11,20,100316,0.016,0
37,nnbbqrkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBQRKR w KQkq - 0 1,Stockfish 17.1,e2e4,27,69,920,11,12,19,100625,0.017,1
38,nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w KQkq - 0 1,Stockfish 17.1,e2e4,38,100,893,7,11,15,100754,0.017,0
39,nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w KQkq - 0 1,Stockfish 17.1,d2d4,24,63,925,12,13,19,100342,0.018,0
40,nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w KQkq - 0 1,Stockfish 17.1,c2c4,38,100,893,7,12,19,100994,0.017,0
41,nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w KQkq - 0 1,Stockfish 17.1,h2h4,41,108,885,7,12,21,100157,0.016,1
42,nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w KQkq - 0 1,Stockfish 17.1,c2c4,39,101,892,7,13,18,100910,0.019,1
43,nnqrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNQRBKRB w KQkq - 0 1,Stockfish 17.1,c2c4,34,88,904,8,12,20,100538,0.019,1
44,nbnqrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNQRKBR w KQkq - 0 1,Stockfish 17.1,f2f3,31,79,912,9,12,17,100111,0.016,0
45,nnqbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NNQBRKBR w KQkq - 0 1,Stockfish 17.1,d2d4,43,116,878,6,11,16,100761,0.019,1
46,nnqrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNQRKBBR w KQkq - 0 1,Stockfish 17.1,c2c4,48,138,857,5,13,17,100447,0.018,1
47,nnqrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNQRKRBB w KQkq - 0 1,Stockfish 17.1,f2f4,30,76,914,10,10,16,100801,0.017,0
48,bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w KQkq - 0 1,Stockfish 17.1,c1d3,29,75,915,10,11,20,100092,0.017,0
49,bnnbrqkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRQKR w KQkq - 0 1,Stockfish 17.1,h2h4,37,96,896,8,11,19,100012,0.016,0
50,bnnrqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNRQBKR w KQkq - 0 1,Stockfish 17.1,e2e4,44,122,872,6,11,15,100431,0.017,0
51,bnnrqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRQKRB w KQkq - 0 1,Stockfish 17.1,c2c4,29,74,916,10,11,17,100336,0.018,1
52,nbbnrqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRQKR w KQkq - 0 1,Stockfish 17.1,e2e4,39,103,890,7,11,20,100439,0.016,1
53,nnbbrqkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRQKR w KQkq - 0 1,Stockfish 17.1,d2d4,40,106,887,7,12,20,101355,0.018,0
54,nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w KQkq - 0 1,Stockfish 17.1,d2d4,66,229,768,3,12,19,100222,0.018,1
55,nnbrqkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRQKRB w KQkq - 0 1,Stockfish 17.1,d2d4,36,95,897,8,11,19,100915,0.018,0
56,nbnrbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBQKR w KQkq - 0 1,Stockfish 17.1,c2c4,47,133,862,5,12,13,100291,0.019,0
57,nnrbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBQKR w KQkq - 0 1,Stockfish 17.1,d2d4,40,105,888,7,11,21,101089,0.017,1
58,nnrqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNRQBBKR w KQkq - 0 1,Stockfish 17.1,d2d4,44,119,875,6,11,18,100593,0.018,1
59,nnrqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNRQBKRB w KQkq - 0 1,Stockfish 17.1,g2g3,60,194,803,3,12,21,100852,0.014,0
60,nbnrqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRQKBR w KQkq - 0 1,Stockfish 17.1,f2f3,38,100,893,7,12,19,100197,0.017,1
61,nnrbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBQKBR w KQkq - 0 1,Stockfish 17.1,f2f4,41,108,885,7,10,15,100411,0.021,0
62,nnrqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRQKBBR w KQkq - 0 1,Stockfish 17.1,f2f4,41,110,883,7,11,21,100430,0.019,2
63,nnrqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRQKRBB w KQkq - 0 1,Stockfish 17.1,c2c4,28,72,918,10,11,18,100605,0.016,0
64,bbnnrkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKQR w KQkq - 0 1,Stockfish 17.1,f2f3,49,141,854,5,11,14,100296,0.019,1
65,bnnbrkqr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKQR w KQkq - 0 1,Stockfish 17.1,e2e4,37,96,896,8,10,17,100275,0.021,1
66,bnnrkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBQR w KQkq - 0 1,Stockfish 17.1,b2b3,10,40,941,19,9,16,100742,0.017,1
67,bnnrkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKQRB w KQkq - 0 1,Stockfish 17.1,b2b3,35,91,901,8,10,18,101313,0.018,1
68,nbbnrkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKQR w KQkq - 0 1,Stockfish 17.1,e2e4,40,105,888,7,11,18,102300,0.018,0
69,nnbbrkqr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKQR w KQkq - 0 1,Stockfish 17.1,f2f4,53,160,836,4,10,22,100178,0.017,1
70,nnbrkbqr/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBQR w KQkq - 0 1,Stockfish 17.1,f2f3,62,206,791,3,12,20,100638,0.019,0
71,nnbrkqrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKQRB w KQkq - 0 1,Stockfish 17.1,d2d4,59,188,808,4,11,24,100069,0.017,0
72,nbnrbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKQR w KQkq - 0 1,Stockfish 17.1,a1b3,44,120,874,6,13,17,100295,0.02,1
73,nnrbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKQR w KQkq - 0 1,Stockfish 17.1,d2d4,34,87,904,9,11,13,100208,0.02,1
74,nnrkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBQR w KQkq - 0 1,Stockfish 17.1,f2f3,38,99,894,7,11,18,100676,0.018,2
75,nnrkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBQRB w KQkq - 0 1,Stockfish 17.1,g2g4,42,113,881,6,11,19,100298,0.015,1
76,nbnrkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRKQBR w KQkq - 0 1,Stockfish 17.1,c2c3,9,38,942,20,12,15,100027,0.018,0
77,nnrbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBKQBR w KQkq - 0 1,Stockfish 17.1,f2f4,45,126,868,6,11,22,100057,0.019,1
78,nnrkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRKQBBR w KQkq - 0 1,Stockfish 17.1,e2e4,37,95,897,8,10,16,101428,0.018,1
79,nnrkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKQRBB w KQkq - 0 1,Stockfish 17.1,f2f4,49,141,854,5,10,15,102124,0.018,0
80,bbnnrkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKRQ w KQkq - 0 1,Stockfish 17.1,c1d3,27,69,920,11,9,14,100105,0.02,0
81,bnnbrkrq/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKRQ w KQkq - 0 1,Stockfish 17.1,b2b4,41,109,884,7,10,15,100217,0.017,0
82,bnnrkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBRQ w KQkq - 0 1,Stockfish 17.1,g2g4,58,186,810,4,10,18,100532,0.02,0
83,bnnrkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKRQB w KQkq - 0 1,Stockfish 17.1,g2g4,75,294,704,2,11,16,100569,0.019,1
84,nbbnrkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKRQ w KQkq - 0 1,Stockfish 17.1,h2h4,34,87,904,9,12,16,100512,0.017,2
85,nnbbrkrq/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKRQ w KQkq - 0 1,Stockfish 17.1,d2d3,12,41,940,19,10,18,100149,0.015,0
86,nnbrkbrq/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBRQ w KQkq - 0 1,Stockfish 17.1,d2d4,46,127,867,6,13,23,100192,0.017,1
87,nnbrkrqb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKRQB w KQkq - 0 1,Stockfish 17.1,f2f4,55,167,829,4,10,18,100288,0.017,1
88,nbnrbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKRQ w KQkq - 0 1,Stockfish 17.1,c2c4,47,131,864,5,12,17,100252,0.016,2
89,nnrbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKRQ w KQkq - 0 1,Stockfish 17.1,g2g4,33,84,907,9,10,14,100842,0.017,1
90,nnrkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBRQ w KQkq - 0 1,Stockfish 17.1,g2g4,27,70,919,11,36,38,100005863,24.077,538
91,nnrkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBRQB w KQkq - 0 1,Stockfish 17.1,g2g4,49,141,854,5,12,17,100839,0.019,1
92,nbnrkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBNRKRBQ w KQkq - 0 1,Stockfish 17.1,f2f4,28,71,918,11,10,19,100759,0.018,1
93,nnrbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NNRBKRBQ w KQkq - 0 1,Stockfish 17.1,f2f4,47,133,862,5,10,16,100955,0.019,1
94,nnrkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NNRKRBBQ w KQkq - 0 1,Stockfish 17.1,d1c1,42,114,880,6,13,20,100277,0.016,2
95,nnrkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKRQBB w KQkq - 0 1,Stockfish 17.1,f2f4,43,116,878,6,10,19,100610,0.017,1
96,bbqnrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRNKR w KQkq - 0 1,Stockfish 17.1,h2h4,50,143,852,5,10,18,100114,0.016,1
97,bqnbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRNKR w KQkq - 0 1,Stockfish 17.1,c2c4,55,167,829,4,11,17,100570,0.017,2
98,bqnrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNRNBKR w KQkq - 0 1,Stockfish 17.1,h2h4,27,70,919,11,11,19,100750,0.017,2
99,bqnrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRNKRB w KQkq - 0 1,Stockfish 17.1,c2c4,21,57,930,13,12,15,101023,0.018,1
100,qbbnrnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRNKR w KQkq - 0 1,Stockfish 17.1,h2h4,35,91,901,8,11,22,100958,0.019,1
101,qnbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRNKR w KQkq - 0 1,Stockfish 17.1,d2d4,19,54,932,14,10,19,100887,0.02,2
102,qnbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBRNBKR w KQkq - 0 1,Stockfish 17.1,d2d4,44,120,874,6,13,17,100482,0.017,1
103,qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w KQkq - 0 1,Stockfish 17.1,d2d4,55,170,826,4,11,13,100487,0.016,1
104,qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w KQkq - 0 1,Stockfish 17.1,h2h4,41,109,884,7,12,19,100351,0.018,1
105,qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w KQkq - 0 1,Stockfish 17.1,d2d4,40,107,886,7,12,20,100789,0.017,1
106,qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w KQkq - 0 1,Stockfish 17.1,d2d4,47,133,862,5,12,20,100381,0.018,2
107,qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w KQkq - 0 1,Stockfish 17.1,c2c4,28,71,918,11,12,15,100575,0.017,1
108,qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w KQkq - 0 1,Stockfish 17.1,c2c4,31,80,911,9,12,19,101404,0.018,0
109,qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w KQkq - 0 1,Stockfish 17.1,c2c4,30,78,912,10,11,17,100989,0.017,1
110,qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w KQkq - 0 1,Stockfish 17.1,e2e4,18,52,933,15,11,20,100017,0.017,2
111,qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w KQkq - 0 1,Stockfish 17.1,b2b4,71,263,735,2,12,18,100704,0.017,2
112,bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w KQkq - 0 1,Stockfish 17.1,c2c4,40,106,887,7,12,19,101254,0.017,0
113,bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w KQkq - 0 1,Stockfish 17.1,b2b4,35,91,901,8,10,19,100849,0.019,0
114,bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w KQkq - 0 1,Stockfish 17.1,d2d4,71,260,738,2,11,19,100460,0.015,0
115,bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w KQkq - 0 1,Stockfish 17.1,g2g4,30,77,913,10,10,12,100110,0.019,2
116,nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w KQkq - 0 1,Stockfish 17.1,e2e4,27,69,920,11,11,18,100215,0.017,2
117,nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w KQkq - 0 1,Stockfish 17.1,e2e4,29,74,916,10,11,17,100528,0.017,1
118,nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w KQkq - 0 1,Stockfish 17.1,c2c4,53,156,840,4,12,16,100585,0.018,2
119,nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w KQkq - 0 1,Stockfish 17.1,c2c4,21,57,930,13,11,20,100041,0.016,1
120,nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w KQkq - 0 1,Stockfish 17.1,c2c4,56,174,822,4,11,18,100382,0.018,2
121,nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w KQkq - 0 1,Stockfish 17.1,h2h4,25,65,923,12,10,17,100992,0.017,1
122,nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w KQkq - 0 1,Stockfish 17.1,d2d4,33,85,906,9,11,14,100856,0.018,1
123,nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w KQkq - 0 1,Stockfish 17.1,c2c4,53,160,836,4,12,17,101389,0.017,1
124,nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w KQkq - 0 1,Stockfish 17.1,h2h4,29,74,916,10,12,21,101017,0.018,2
125,nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w KQkq - 0 1,Stockfish 17.1,h2h4,29,74,916,10,11,20,100813,0.019,1
126,nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w KQkq - 0 1,Stockfish 17.1,b2b4,34,87,904,9,12,19,100683,0.017,2
127,nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w KQkq - 0 1,Stockfish 17.1,f2f4,34,87,904,9,11,22,101078,0.018,1
128,bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w KQkq - 0 1,Stockfish 17.1,h2h4,34,88,904,8,12,23,100349,0.015,2
129,bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w KQkq - 0 1,Stockfish 17.1,h2h4,36,94,898,8,12,17,100336,0.019,3
130,bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w KQkq - 0 1,Stockfish 17.1,h2h4,15,46,937,17,11,19,101221,0.016,2
131,bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w KQkq - 0 1,Stockfish 17.1,b2b4,7,36,942,22,11,17,100647,0.017,1
132,nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w KQkq - 0 1,Stockfish 17.1,h2h4,87,388,611,1,13,19,100671,0.016,1
133,nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w KQkq - 0 1,Stockfish 17.1,h2h4,20,55,931,14,11,19,101361,0.017,3
134,nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w KQkq - 0 1,Stockfish 17.1,e2e4,36,94,898,8,10,18,100953,0.018,1
135,nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w KQkq - 0 1,Stockfish 17.1,d2d4,14,45,938,17,13,14,100176,0.018,1
136,nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w KQkq - 0 1,Stockfish 17.1,c2c4,48,136,859,5,11,16,100286,0.018,1
137,nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w KQkq - 0 1,Stockfish 17.1,e2e4,27,69,920,11,10,23,100809,0.019,2
138,nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w KQkq - 0 1,Stockfish 17.1,d2d4,46,129,866,5,13,18,100478,0.018,2
139,nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w KQkq - 0 1,Stockfish 17.1,d2d3,27,69,920,11,11,17,100214,0.02,1
140,nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w KQkq - 0 1,Stockfish 17.1,h2h4,27,71,918,11,12,13,100066,0.018,1
141,nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w KQkq - 0 1,Stockfish 17.1,f2f3,47,132,863,5,11,16,100976,0.019,1
142,nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w KQkq - 0 1,Stockfish 17.1,f2f3,44,120,874,6,11,14,101451,0.017,2
143,nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w KQkq - 0 1,Stockfish 17.1,f2f4,45,123,871,6,11,20,100148,0.016,2
144,bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w KQkq - 0 1,Stockfish 17.1,c2c4,54,163,833,4,11,19,100517,0.016,0
145,bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w KQkq - 0 1,Stockfish 17.1,h2h4,24,63,925,12,12,19,100272,0.015,1
146,bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w KQkq - 0 1,Stockfish 17.1,h2h4,29,73,917,10,11,21,100029,0.017,1
147,bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w KQkq - 0 1,Stockfish 17.1,g2g4,37,96,896,8,10,19,100493,0.02,2
148,nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w KQkq - 0 1,Stockfish 17.1,e2e4,61,202,795,3,11,17,100929,0.018,3
149,nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w KQkq - 0 1,Stockfish 17.1,e2e4,27,69,920,11,10,23,101041,0.017,1
150,nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w KQkq - 0 1,Stockfish 17.1,d2d4,36,92,900,8,11,17,100047,0.017,2
151,nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w KQkq - 0 1,Stockfish 17.1,g2g4,20,54,932,14,11,20,100437,0.02,1
152,nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w KQkq - 0 1,Stockfish 17.1,d2d4,36,94,898,8,13,19,101198,0.02,2
153,nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w KQkq - 0 1,Stockfish 17.1,c2c4,37,95,897,8,11,19,100841,0.017,2
154,nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w KQkq - 0 1,Stockfish 17.1,e2e4,40,107,886,7,12,18,100149,0.018,2
155,nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w KQkq - 0 1,Stockfish 17.1,c2c4,20,56,930,14,12,14,100368,0.018,1
