id,fen,engine,move,score,wins,draws,losses,depth,seldepth,nodes,time,hashfull
825,rknbbqrn/pppppppp/8/8/8/8/PPPPPPPP/RKNBBQRN w KQkq - 0 1,Stockfish 17.1,a2a4,28,71,918,11,11,17,100630,0.018,6
826,rknqbbrn/pppppppp/8/8/8/8/PPPPPPPP/RKNQBBRN w KQkq - 0 1,Stockfish 17.1,a2a4,15,47,937,16,10,17,100785,0.017,6
827,rknqbrnb/pppppppp/8/8/8/8/PPPPPPPP/RKNQBRNB w KQkq - 0 1,Stockfish 17.1,a2a4,36,94,898,8,13,20,100332,0.019,6
828,rbknqrbn/pppppppp/8/8/8/8/PPPPPPPP/RBKNQRBN w KQkq - 0 1,Stockfish 17.1,a2a4,41,108,885,7,10,17,100715,0.016,8
829,rknbqrbn/pppppppp/8/8/8/8/PPPPPPPP/RKNBQRBN w KQkq - 0 1,Stockfish 17.1,f2f4,57,177,819,4,12,20,100422,0.018,7
830,rknqrbbn/pppppppp/8/8/8/8/PPPPPPPP/RKNQRBBN w KQkq - 0 1,Stockfish 17.1,e2e4,39,102,891,7,33,56,100006384,22.709,493
831,rknqrnbb/pppppppp/8/8/8/8/PPPPPPPP/RKNQRNBB w KQkq - 0 1,Stockfish 17.1,a2a4,61,199,798,3,13,19,100649,0.016,8
832,bbrknrqn/pppppppp/8/8/8/8/PPPPPPPP/BBRKNRQN w KQkq - 0 1,Stockfish 17.1,c2c4,20,54,932,14,11,21,100897,0.019,9
833,brkbnrqn/pppppppp/8/8/8/8/PPPPPPPP/BRKBNRQN w KQkq - 0 1,Stockfish 17.1,g2g4,27,71,918,11,12,16,100975,0.016,10
834,brknrbqn/pppppppp/8/8/8/8/PPPPPPPP/BRKNRBQN w KQkq - 0 1,Stockfish 17.1,f2f4,22,59,928,13,11,16,100510,0.018,13
835,brknrqnb/pppppppp/8/8/8/8/PPPPPPPP/BRKNRQNB w KQkq - 0 1,Stockfish 17.1,b2b4,35,91,901,8,11,17,100166,0.018,9
836,rbbknrqn/pppppppp/8/8/8/8/PPPPPPPP/RBBKNRQN w KQkq - 0 1,Stockfish 17.1,g2g4,26,68,921,11,12,21,100118,0.016,11
837,rkbbnrqn/pppppppp/8/8/8/8/PPPPPPPP/RKBBNRQN w KQkq - 0 1,Stockfish 17.1,e2e4,36,95,897,8,11,23,100220,0.018,13
838,rkbnrbqn/pppppppp/8/8/8/8/PPPPPPPP/RKBNRBQN w KQkq - 0 1,Stockfish 17.1,f2f4,26,68,921,11,11,16,100573,0.018,8
839,rkbnrqnb/pppppppp/8/8/8/8/PPPPPPPP/RKBNRQNB w KQkq - 0 1,Stockfish 17.1,e2e4,40,106,887,7,11,21,100155,0.017,9
840,rbknbrqn/pppppppp/8/8/8/8/PPPPPPPP/RBKNBRQN w KQkq - 0 1,Stockfish 17.1,g2g4,38,98,895,7,13,20,100234,0.018,10
841,rknbbrqn/pppppppp/8/8/8/8/PPPPPPPP/RKNBBRQN w KQkq - 0 1,Stockfish 17.1,a2a4,32,82,909,9,12,20,100155,0.018,11
842,rknrbbqn/pppppppp/8/8/8/8/PPPPPPPP/RKNRBBQN w KQkq - 0 1,Stockfish 17.1,a2a4,21,58,929,13,12,21,101675,0.016,8
